"","Year","Global_Sales","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"1","1980",1.26444444444444,1.17666666666667,0.0744444444444445,0,0.0133333333333333
"2","1981",0.777608695652174,0.726086956521739,0.0426086956521739,0,0.00695652173913044
"3","1982",0.801666666666667,0.747777777777778,0.0458333333333333,0,0.00861111111111111
"4","1983",0.987647058823529,0.456470588235294,0.0470588235294118,0.476470588235294,0.00823529411764706
"5","1984",3.59714285714286,2.37714285714286,0.15,1.01928571428571,0.05
"6","1985",3.85285714285714,2.40928571428571,0.338571428571429,1.04,0.0657142857142857
"7","1986",1.7652380952381,0.595238095238095,0.135238095238095,0.943333333333333,0.0919047619047619
"8","1987",1.35875,0.52875,0.088125,0.726875,0.0125
"9","1988",3.148,1.59133333333333,0.439333333333333,1.05066666666667,0.066
"10","1989",4.32058823529412,2.65588235294118,0.496470588235294,1.08,0.0882352941176471
"11","1990",3.086875,1.59125,0.476875,0.93,0.0875
"12","1991",0.78609756097561,0.311219512195122,0.0963414634146341,0.360487804878049,0.0180487804878049
"13","1992",1.77116279069767,0.787674418604651,0.272325581395349,0.672325581395349,0.0383720930232558
"14","1993",0.766333333333333,0.252,0.0775,0.422166666666667,0.0148333333333333
"15","1994",0.654297520661157,0.232644628099174,0.12297520661157,0.280909090909091,0.0181818181818182
"16","1995",0.402328767123288,0.113333333333333,0.0680365296803653,0.208904109589041,0.0120547945205479
"17","1996",0.75722433460076,0.329885931558935,0.179695817490494,0.218403041825095,0.0292395437262357
"18","1997",0.695432525951557,0.327854671280277,0.16719723183391,0.169100346020761,0.0315916955017301
"19","1998",0.676701846965699,0.33868073878628,0.176517150395778,0.132031662269129,0.0291029023746702
"20","1999",0.743402366863905,0.372958579881657,0.185414201183432,0.154852071005917,0.0297337278106509
"21","2000",0.577535816618911,0.270744985673352,0.151146131805158,0.122550143266476,0.0332951289398281
"22","2001",0.687697095435685,0.360954356846473,0.196867219917012,0.0826970954356847,0.0472199170124481
"23","2002",0.477104945717732,0.260784077201448,0.132376357056695,0.0503739445114596,0.0329071170084439
"24","2003",0.461741935483871,0.249793548387097,0.133948387096774,0.0441290322580645,0.0335612903225806
"25","2004",0.549554390563565,0.29173001310616,0.140655307994758,0.0545871559633028,0.0619790301441678
"26","2005",0.488777895855473,0.257821466524973,0.129585547290117,0.0576833156216791,0.0431243358129649
"27","2006",0.516904761904762,0.261031746031746,0.128214285714286,0.0731448412698413,0.0539980158730159
"28","2007",0.50842762063228,0.259608985024958,0.133527454242928,0.0501580698835275,0.0645590682196339
"29","2008",0.475420168067227,0.246106442577031,0.129131652661064,0.0421988795518207,0.0576960784313725
"30","2009",0.466317260656883,0.236792452830189,0.133885394828791,0.0432494758909853,0.0522501747030049
"31","2010",0.476926131850675,0.241652104845115,0.140373312152502,0.047251787132645,0.0475774424146148
"32","2011",0.453020193151888,0.211641791044776,0.147006145741879,0.0465671641791045,0.0477524143985953
"33","2012",0.553333333333333,0.2358599695586,0.180791476407915,0.078751902587519,0.0575646879756469
"34","2013",0.674194139194139,0.283461538461538,0.23040293040293,0.0871611721611722,0.0729304029304029
"35","2014",0.579123711340206,0.226752577319588,0.215893470790378,0.0678006872852234,0.0687628865979381
"36","2015",0.430684039087948,0.167459283387622,0.15913680781759,0.0549185667752443,0.0488762214983713
"37","2016",0.206191860465116,0.0658720930232558,0.0777906976744186,0.0398255813953488,0.0225290697674419
"38","2017",0.0166666666666667,0,0,0.0166666666666667,0
"39","2020",0.29,0.27,0,0,0.02
"40","N/A",0.36929889298893,0.219630996309963,0.0922878228782288,0.0247970479704797,0.0322509225092251
