"","Publisher","Global_Sales","NA_Sales","EU_Sales","JP_Sales","Other_Sales"
"374","Nitroplus",0.01,0,0,0.01,0
"375","Nobilis",0.149230769230769,0.123846153846154,0.0138461538461538,0.00153846153846154,0.0107692307692308
"376","Nordcurrent",0.118,0.078,0.028,0,0.01
"377","Nordic Games",0.126857142857143,0.0217142857142857,0.0908571428571429,0,0.0145714285714286
"378","NovaLogic",0.273333333333333,0.16,0.08,0,0.0233333333333333
"379","Number None",0.03,0,0.02,0,0.01
"380","O-Games",0.0635294117647059,0.0258823529411765,0.0317647058823529,0,0.00705882352941176
"381","O3 Entertainment",0.0733333333333333,0.0633333333333333,0.00666666666666667,0,0.00333333333333333
"382","Ocean",0.257857142857143,0.147142857142857,0.0714285714285714,0.03,0.00785714285714286
"383","Office Create",0.03,0,0,0.03,0
"384","On Demand",0.21,0.12,0.08,0,0.01
"385","Ongakukan",0.01,0,0,0.01,0
"386","Origin Systems",0.09,0.05,0.03,0,0.01
"387","Otomate",0.01,0,0,0.01,0
"388","Oxygen Interactive",0.157272727272727,0.0913636363636364,0.0472727272727273,0,0.0163636363636364
"389","P2 Games",0.133333333333333,0.00666666666666667,0.11,0,0.0133333333333333
"390","Pacific Century Cyber Works",0.26,0.11,0.09,0.03,0.03
"391","Pack In Soft",0.48,0.25,0.06,0.11,0.06
"392","Pack-In-Video",0.055,0,0,0.055,0
"393","Palcom",4.17,3.38,0.44,0.31,0.04
"394","Panther Software",0.17,0.02,0.02,0.12,0.01
"395","Paon",0.0416666666666667,0,0,0.0416666666666667,0
"396","Paon Corporation",0.03,0,0,0.03,0
"397","Paradox Development",0.01,0,0.01,0,0
"398","Paradox Interactive",0.0330434782608696,0.00217391304347826,0.0247826086956522,0,0.00347826086956522
"399","Parker Bros.",0.71,0.664285714285714,0.0385714285714286,0,0.00714285714285714
"400","Performance Designed Products",0.18,0.17,0,0,0.01
"401","Phantagram",0.05,0.03,0.01,0.01,0
"402","Phantom EFX",0.09,0.09,0,0,0.01
"403","Phenomedia",0.0475,0.04,0,0,0
"404","Phoenix Games",0.02,0.02,0,0,0
"405","Piacci",0.01,0,0,0.01,0
"406","Pinnacle",0.284,0,0.264,0,0.02
"407","Pioneer LDC",0.185,0.0575,0.04,0.08,0.01
"408","Play It",0.307857142857143,0.180714285714286,0.0878571428571429,0,0.0392857142857143
"409","Playlogic Game Factory",0.0857142857142857,0.0671428571428571,0.0114285714285714,0,0.00785714285714286
"410","Playmates",0.28,0.16,0.11,0,0.02
"411","Playmore",0.04,0,0,0.04,0
"412","PlayV",0.11,0.025,0.075,0,0.0125
"413","Plenty",0.02,0,0,0.02,0
"414","PM Studios",0.1,0.09,0,0,0.01
"415","Pony Canyon",0.05,0.03,0.02,0,0
"416","PopCap Games",0.104666666666667,0.0733333333333333,0.0226666666666667,0,0.008
"417","Popcorn Arcade",0.049,0.045,0,0,0.001
"418","PopTop Software",0.11,0.06,0.04,0,0.01
"419","Pow",0.05,0,0,0.05,0
"420","PQube",0.109487179487179,0.048974358974359,0.0235897435897436,0.0269230769230769,0.0102564102564103
"421","Princess Soft",0.0233333333333333,0,0,0.0233333333333333,0
"422","Prototype",0.0225925925925926,0,0,0.0225925925925926,0
"423","Psygnosis",0.2271875,0.1134375,0.0775,0.0225,0.0140625
"424","Quelle",0.87,0.81,0.05,0,0.01
"425","Quest",0.71,0,0,0.71,0
"426","Quinrose",0.0157142857142857,0,0,0.0157142857142857,0
"427","Quintet",0.02,0,0,0.02,0
"428","Rage Software",0.202857142857143,0.115714285714286,0.0671428571428571,0,0.0185714285714286
"429","Rain Games",0.01,0,0.01,0,0
"430","Rebellion",0.245,0.175,0.065,0,0.005
"431","Rebellion Developments",0.15,0.04,0.085,0,0.02
"432","RED Entertainment",0.02,0,0,0.02,0
"433","Red Orb",2.62,0.77,1.805,0,0.05
"434","Red Storm Entertainment",0.773333333333333,0.476666666666667,0.266666666666667,0,0.03
"435","RedOctane",2.17,1.61,0.3275,0.0075,0.2275
"436","Reef Entertainment",0.0485714285714286,0.0242857142857143,0.0185714285714286,0,0.00428571428571429
"437","responDESIGN",0.065,0.045,0.02,0,0.005
"438","Revolution (Japan)",0.02,0,0,0.02,0
"439","Revolution Software",0.035,0,0.035,0,0.005
"440","Rising Star Games",0.201279069767442,0.122093023255814,0.0346511627906977,0.0294186046511628,0.0141860465116279
"441","Riverhillsoft",0.04,0,0,0.04,0
"442","Rocket Company",0.107058823529412,0,0,0.107058823529412,0
"443","Rondomedia",0.184285714285714,0.0835714285714286,0.0807142857142857,0,0.0185714285714286
"444","RTL",0.25,0.10375,0.1225,0,0.025
"445","Russel",0.201666666666667,0,0.186666666666667,0.015,0
"446","Sammy Corporation",0.248181818181818,0.0372727272727273,0.0281818181818182,0.173636363636364,0.00909090909090909
"447","Saurus",0.02,0.01,0.01,0,0
"448","Scholastic Inc.",0.291,0.267,0.003,0,0.018
"449","SCi",0.207058823529412,0.118235294117647,0.0723529411764706,0,0.0152941176470588
"450","Screenlife",0.153333333333333,0.0366666666666667,0.00166666666666667,0.11,0.005
"451","SCS Software",0.13,0,0.12,0,0.02
"452","Sears",0.21,0.2,0.01,0,0
"453","Sega",0.427214397496088,0.171205007824726,0.128325508607199,0.0892488262910798,0.0383724569640063
"454","Seta Corporation",0.105,0,0,0.0983333333333333,0.00666666666666667
"455","Seventh Chord",0.08,0,0,0.08,0
"456","Shogakukan",0.088,0,0,0.088,0
"457","Simon & Schuster Interactive",0.11,0.08,0.02,0,0
"458","Slightly Mad Studios",0.46,0.0833333333333333,0.306666666666667,0.00666666666666667,0.06
"459","Slitherine Software",0.0525,0.02,0.025,0,0.0075
"460","SNK",0.117727272727273,0.00181818181818182,0.00136363636363636,0.112727272727273,0.00181818181818182
"461","SNK Playmore",0.0533333333333333,0.0127777777777778,0.00777777777777778,0.0311111111111111,0.00166666666666667
"462","Societa",0.04,0,0,0.04,0
"463","Sold Out",0.02,0.01,0.01,0,0
"464","Sonnet",0.03,0,0,0.03,0
"465","Sony Computer Entertainment",0.889458272327965,0.388316251830161,0.274846266471449,0.108491947291362,0.117789165446559
"466","Sony Computer Entertainment America",0.393333333333333,0.346666666666667,0,0,0.0433333333333333
"467","Sony Computer Entertainment Europe",1.59266666666667,0.597333333333333,0.6,0.166666666666667,0.228
"468","Sony Music Entertainment",0.14,0,0,0.14,0
"469","Sony Online Entertainment",0.44125,0.245,0.14375,0,0.05
"470","SouthPeak Games",0.171621621621622,0.128918918918919,0.0245945945945946,0.00189189189189189,0.0151351351351351
"471","Spike",0.166216216216216,0.0897297297297297,0.00891891891891892,0.0572972972972973,0.01
"472","SPS",0.12,0.07,0.04,0,0.01
"473","Square",0.606666666666667,0.0883333333333333,0.0483333333333333,0.433333333333333,0.0383333333333333
"474","Square EA",0.8,0.45,0.3,0,0.05
"475","Square Enix",0.623090128755365,0.208798283261803,0.140858369098712,0.214077253218884,0.0596137339055794
"476","SquareSoft",1.10865384615385,0.212692307692308,0.0951923076923077,0.771730769230769,0.0296153846153846
"477","SSI",0.19,0.11,0.07,0,0.01
"478","Stainless Games",0.01,0.01,0.01,0,0
"479","Starfish",0.072,0.039,0.019,0.01,0.003
"480","Starpath Corp.",0.33,0.3,0.02,0,0
"481","Sting",0.0722222222222222,0.0444444444444444,0.00777777777777778,0.0166666666666667,0.00333333333333333
"482","Storm City Games",0.0821052631578947,0.0710526315789474,0.00526315789473684,0,0.00421052631578947
"483","Strategy First",0.03,0,0.02,0,0
"484","Success",0.103157894736842,0.0589473684210526,0.0257894736842105,0.0115789473684211,0.00473684210526316
"485","Summitsoft",0.04,0.03,0.01,0,0
"486","Sunflowers",0.03,0,0.02,0,0.01
"487","Sunrise Interactive",0.0425,0,0,0.0425,0
"488","Sunsoft",0.095,0.05,0.025,0.017,0.004
"489","Sweets",0.025,0,0,0.025,0
"490","Swing! Entertainment",0.08,0.0466666666666667,0.0266666666666667,0,0.00666666666666667
"491","Syscom",0.135,0.03,0.02,0.075,0.01
